Feature | Report | Usage Page                | Usage                                      | Range     | Count | Bits 
--------|--------|---------------------------|--------------------------------------------|-----------|-------|------
  50000 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50001 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50002 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50003 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50004 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50005 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50006 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50007 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50008 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50009 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5000a |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5000b |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5000c |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5000d |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5000e |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5000f |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50010 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50011 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50012 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50013 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50014 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50015 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50016 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50017 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50018 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50019 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5001a |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5001b |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5001c |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5001d |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5001e |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5001f |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50020 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50021 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50022 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50023 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50024 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50025 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50026 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50027 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50028 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50029 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5002a |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5002b |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5002c |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5002d |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5002e |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5002f |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50030 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50031 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50032 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50033 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50034 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50035 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50036 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50037 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50038 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  50039 |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5003a |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5003b |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5003c |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5003d |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
  5003e |      5 |                           | 0xffef0003                                 | [ 0, 255] |     1 |   8 
